"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","GainTotal []"
10,10,-178,0.6,48,0.0919522372283552
10,10,-178,0.6,50,0.133328059885337
10,10,-178,0.6,52,0.156548474361789
10,10,-178,0.6,54,0.10452992935707
10,10,-178,0.6,56,0.0938482859973246
10,10,-178,0.6,58,0.0595091253006443
10,10,-178,0.6,60,0.0341759675529717
10,10,-178,0.6,62,0.0450804619476846
10,10,-178,0.6,64,0.0444541859410966
10,10,-178,0.6,66,0.0154650127512727
10,10,-178,0.6,68,0.0230827998506815
10,10,-178,0.6,70,0.0333627729771569
10,10,-178,0.6,72,0.047810273882953
10,10,-178,0.6,74,0.0659738531430398
10,10,-178,0.6,76,0.0417982131342394
10,10,-178,0.6,78,0.0314247324841175
10,10,-178,0.6,80,0.08747548131851
10,10,-178,0.6,82,0.106503057797884
10,10,-178,0.6,84,0.101788328459029
10,10,-178,0.6,86,0.129178735347898
10,10,-178,0.6,88,0.117228852065353
10,10,-178,0.6,90,0.0890775870833428
10,10,-178,0.6,92,0.117228852065357
10,10,-178,0.6,94,0.129178735347899
10,10,-178,0.6,96,0.101788328459029
10,10,-178,0.6,98,0.106503057797884
10,10,-178,0.6,100,0.0874754813185075
10,10,-178,0.6,102,0.0314247324841159
10,10,-178,0.6,104,0.0417982131342389
10,10,-178,0.6,106,0.0659738531430378
10,10,-178,0.6,108,0.0478102738829507
10,10,-178,0.6,110,0.0333627729771555
10,10,-178,0.6,112,0.0230827998506813
10,10,-178,0.6,114,0.0154650127512722
10,10,-178,0.6,116,0.0444541859410963
10,10,-178,0.6,118,0.0450804619476833
10,10,-178,0.6,120,0.0341759675529718
10,10,-178,0.6,122,0.0595091253006439
10,10,-178,0.6,124,0.0938482859973232
10,10,-178,0.6,126,0.10452992935707
10,10,-178,0.6,128,0.156548474361787
10,10,-178,0.6,130,0.133328059885336
10,10,-178,0.6,132,0.0919522372283551
10,10,-178,0.6,134,0.138118324223131
10,10,-178,0.6,136,0.176128708149618
10,10,-178,0.6,138,0.125432404765968
10,10,-178,0.6,140,0.123886483529015
10,10,-178,0.6,142,0.150459297765178
10,10,-178,0.6,144,0.16885785673016
10,10,-178,0.6,146,0.187241055813669
10,10,-178,0.6,148,0.153842591868754
10,10,-178,0.6,150,0.170897255918025
10,10,-178,0.6,152,0.255989440422062
10,10,-178,0.6,154,0.224507261332038
10,10,-178,0.6,156,0.226686056214974
10,10,-178,0.6,158,0.259659674584622
10,10,-178,0.6,160,0.24753830281906
10,10,-178,0.6,162,0.380124079869701
10,10,-178,0.6,164,0.331334990376819
10,10,-178,0.6,166,0.318504445165572
10,10,-178,0.6,168,0.564803272294712
10,10,-178,0.6,170,0.365001252887093
10,10,-178,0.6,172,0.366242068577874
10,10,-178,0.6,174,0.759037674694811
10,10,-178,0.6,176,0.584968666103497
10,10,-178,0.6,178,0.68573328192338
10,10,-178,0.6,180,0.900753361261107
10,5,-176,0.6,0,0.39641018303153
10,5,-176,0.6,2,0.383602771600245
10,5,-176,0.6,4,0.332649755906985
10,5,-176,0.6,6,0.254558849468829
10,5,-176,0.6,8,0.300153624120406
10,5,-176,0.6,10,0.479359023989782
10,5,-176,0.6,12,0.571457762597736
10,5,-176,0.6,14,0.486239956918148
10,5,-176,0.6,16,0.352297560360716
10,5,-176,0.6,18,0.2778101229515
10,5,-176,0.6,20,0.282081173352304
10,5,-176,0.6,22,0.323932540839728
10,5,-176,0.6,24,0.331086198831736
10,5,-176,0.6,26,0.285475355625634
10,5,-176,0.6,28,0.233561773613894
10,5,-176,0.6,30,0.213383381168661
10,5,-176,0.6,32,0.228277140478865
10,5,-176,0.6,34,0.253509560658285
10,5,-176,0.6,36,0.252232468343554
10,5,-176,0.6,38,0.217612219155508
10,5,-176,0.6,40,0.178435041797782
10,5,-176,0.6,42,0.158380756684289
10,5,-176,0.6,44,0.157386390822693
10,5,-176,0.6,46,0.160575587325177
10,5,-176,0.6,48,0.152374923224429
10,5,-176,0.6,50,0.132606463145253
10,5,-176,0.6,52,0.116397995772738
10,5,-176,0.6,54,0.113928835560714
10,5,-176,0.6,56,0.118004382878779
10,5,-176,0.6,58,0.113485570609396
10,5,-176,0.6,60,0.0941985017048175
10,5,-176,0.6,62,0.0694057290350423
10,5,-176,0.6,64,0.0546900784236391
10,5,-176,0.6,66,0.0574620266651996
10,5,-176,0.6,68,0.0713738197479807
10,5,-176,0.6,70,0.0825337133837128
10,5,-176,0.6,72,0.0805936026183717
10,5,-176,0.6,74,0.0672629533575258
10,5,-176,0.6,76,0.0560681063194773
10,5,-176,0.6,78,0.0618638801740536
10,5,-176,0.6,80,0.0885558845280445
10,5,-176,0.6,82,0.126553228464379
10,5,-176,0.6,84,0.161388109027276
10,5,-176,0.6,86,0.184120691635101
