"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","DirTotal []"
10,7,90,0.6,172,0.551651548080526
10,7,90,0.6,174,1.08009122129508
10,7,90,0.6,176,1.09074506111818
10,7,90,0.6,178,0.562967677610608
10,7,90,0.6,180,0.226494862557508
10,10,90,0.6,0,0.885613767282108
10,10,90,0.6,2,1.29490491296927
10,10,90,0.6,4,0.406023920452489
10,10,90,0.6,6,0.430240101609976
10,10,90,0.6,8,0.941535096668938
10,10,90,0.6,10,0.415393338233679
10,10,90,0.6,12,0.327237780480557
10,10,90,0.6,14,0.741007984494425
10,10,90,0.6,16,0.504878255967594
10,10,90,0.6,18,0.332859887098086
10,10,90,0.6,20,0.384188504045977
10,10,90,0.6,22,0.342812308967376
10,10,90,0.6,24,0.447001267492189
10,10,90,0.6,26,0.338926039801317
10,10,90,0.6,28,0.206627327038205
10,10,90,0.6,30,0.361143093316873
10,10,90,0.6,32,0.290135174142931
10,10,90,0.6,34,0.233157866062005
10,10,90,0.6,36,0.29602638227778
10,10,90,0.6,38,0.149252596989095
10,10,90,0.6,40,0.254649250758898
10,10,90,0.6,42,0.366768950767232
10,10,90,0.6,44,0.114895116940243
10,10,90,0.6,46,0.188515968101986
10,10,90,0.6,48,0.337098475747512
10,10,90,0.6,50,0.155151436381088
10,10,90,0.6,52,0.184772575136822
10,10,90,0.6,54,0.236711869390789
10,10,90,0.6,56,0.137477206474117
10,10,90,0.6,58,0.235612154765041
10,10,90,0.6,60,0.196107653463475
10,10,90,0.6,62,0.147773277406079
10,10,90,0.6,64,0.333087253502444
10,10,90,0.6,66,0.130780518166441
10,10,90,0.6,68,0.146725667262679
10,10,90,0.6,70,0.484198418216625
10,10,90,0.6,72,0.0989845637072967
10,10,90,0.6,74,0.44251272538048
10,10,90,0.6,76,1.09045687096627
10,10,90,0.6,78,0.113474720693782
10,10,90,0.6,80,1.23480953854211
10,10,90,0.6,82,2.68523016232068
10,10,90,0.6,84,0.00517421322118024
10,10,90,0.6,86,12.4945069426928
10,10,90,0.6,88,52.3351185709081
10,10,90,0.6,90,77.536736683618
10,10,90,0.6,92,52.3351185709081
10,10,90,0.6,94,12.4945069426925
10,10,90,0.6,96,0.00517421322117993
10,10,90,0.6,98,2.68523016232073
10,10,90,0.6,100,1.23480953854209
10,10,90,0.6,102,0.113474720693789
10,10,90,0.6,104,1.09045687096632
