"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,90,0.6,41.1,-4.64873517161494
10,5,90,0.6,41.2,-4.68973318419191
10,5,90,0.6,41.3,-4.73323635743908
10,5,90,0.6,41.4,-4.77916273912966
10,5,90,0.6,41.5,-4.82742340414242
10,5,90,0.6,41.6,-4.87792203616789
10,5,90,0.6,41.7,-4.93055449957248
10,5,90,0.6,41.8,-4.98520840616795
10,5,90,0.6,41.9,-5.04176268262757
10,5,90,0.6,42,-5.10008714540437
10,5,90,0.6,42.1,-5.16004209124107
10,5,90,0.6,42.2,-5.22147791270356
10,5,90,0.6,42.3,-5.28423474960892
10,5,90,0.6,42.4,-5.34814218872121
10,5,90,0.6,42.5,-5.41301902562782
10,5,90,0.6,42.6,-5.47867310422222
10,5,90,0.6,42.7,-5.54490125065635
10,5,90,0.6,42.8,-5.61148931989143
10,5,90,0.6,42.9,-5.67821237398479
10,5,90,0.6,43,-5.74483501187821
10,5,90,0.6,43.1,-5.81111187058182
10,5,90,0.6,43.2,-5.87678831712794
10,5,90,0.6,43.3,-5.94160134936671
10,5,90,0.6,43.4,-6.00528072144617
10,5,90,0.6,43.5,-6.06755030653735
10,5,90,0.6,43.6,-6.12812970494355
10,5,90,0.6,43.7,-6.18673610010971
10,5,90,0.6,43.8,-6.24308635824577
10,5,90,0.6,43.9,-6.29689935937506
10,5,90,0.6,44,-6.34789853880576
10,5,90,0.6,44.1,-6.39581460857509
10,5,90,0.6,44.2,-6.44038841871792
10,5,90,0.6,44.3,-6.48137390874107
10,5,90,0.6,44.4,-6.51854109100257
10,5,90,0.6,44.5,-6.55167900038574
10,5,90,0.6,44.6,-6.58059853933382
10,5,90,0.6,44.7,-6.60513514451363
10,5,90,0.6,44.8,-6.62515120155202
10,5,90,0.6,44.9,-6.64053813772259
10,5,90,0.6,45,-6.65121812924152
10,5,90,0.6,45.1,-6.6571453698058
10,5,90,0.6,45.2,-6.65830685979638
10,5,90,0.6,45.3,-6.6547226905666
10,5,90,0.6,45.4,-6.64644581465106
10,5,90,0.6,45.5,-6.63356130966112
10,5,90,0.6,45.6,-6.61618516013076
10,5,90,0.6,45.7,-6.59446259672266
10,5,90,0.6,45.8,-6.56856604520496
10,5,90,0.6,45.9,-6.5386927478435
10,5,90,0.6,46,-6.50506212690436
10,5,90,0.6,46.1,-6.46791296368543
10,5,90,0.6,46.2,-6.42750046692839
10,5,90,0.6,46.3,-6.3840933019067
10,5,90,0.6,46.4,-6.33797064634466
10,5,90,0.6,46.5,-6.28941933216639
10,5,90,0.6,46.6,-6.23873112347383
10,5,90,0.6,46.7,-6.18620017173198
10,5,90,0.6,46.8,-6.13212067943633
10,5,90,0.6,46.9,-6.0767847940533
10,5,90,0.6,47,-6.02048074514017
10,5,90,0.6,47.1,-5.96349122956599
10,5,90,0.6,47.2,-5.90609204284987
10,5,90,0.6,47.3,-5.84855094890733
10,5,90,0.6,47.4,-5.79112677597218
10,5,90,0.6,47.5,-5.73406872308003
10,5,90,0.6,47.6,-5.67761585918418
10,5,90,0.6,47.7,-5.62199679559211
10,5,90,0.6,47.8,-5.56742951182517
10,5,90,0.6,47.9,-5.51412131507594
10,5,90,0.6,48,-5.46226891402005
10,5,90,0.6,48.1,-5.41205858870843
10,5,90,0.6,48.2,-5.36366643950601
10,5,90,0.6,48.3,-5.31725869944919
10,5,90,0.6,48.4,-5.27299209589361
10,5,90,0.6,48.5,-5.23101424883909
10,5,90,0.6,48.6,-5.19146409480546
10,5,90,0.6,48.7,-5.15447232655383
10,5,90,0.6,48.8,-5.12016184026751
10,5,90,0.6,48.9,-5.08864818301482
10,5,90,0.6,49,-5.06003999440412
10,5,90,0.6,49.1,-5.03443943729462
10,5,90,0.6,49.2,-5.01194261325675
10,5,90,0.6,49.3,-4.9926399591801
10,5,90,0.6,49.4,-4.9766166220107
10,5,90,0.6,49.5,-4.96395280907127
10,5,90,0.6,49.6,-4.95472411178443
10,5,90,0.6,49.7,-4.94900180088484
10,5,90,0.6,49.8,-4.94685309138374
10,5,90,0.6,49.9,-4.94834137563579
10,5,90,0.6,50,-4.95352642287011
10,5,90,0.6,50.1,-4.96246454348065
10,5,90,0.6,50.2,-4.97520871622754
10,5,90,0.6,50.3,-4.99180867629811
10,5,90,0.6,50.4,-5.01231096189009
10,5,90,0.6,50.5,-5.0367589166391
10,5,90,0.6,50.6,-5.06519264479122
10,5,90,0.6,50.7,-5.09764891553652
10,5,90,0.6,50.8,-5.13416101236288
