"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,7,-178,0.6,174,-4.11218108432258
10,7,-178,0.6,176,-4.22656577725318
10,7,-178,0.6,178,-4.38434942442174
10,7,-178,0.6,180,-6.36832776920793
10,10,-178,0.6,0,-0.453941085843243
10,10,-178,0.6,2,-1.63844771629999
10,10,-178,0.6,4,-2.32867396315772
10,10,-178,0.6,6,-1.19736667443125
10,10,-178,0.6,8,-4.36231771716774
10,10,-178,0.6,10,-4.37705644801013
10,10,-178,0.6,12,-2.48102795781644
10,10,-178,0.6,14,-4.96884502112284
10,10,-178,0.6,16,-4.79732698361459
10,10,-178,0.6,18,-4.20074618101989
10,10,-178,0.6,20,-6.06357591009568
10,10,-178,0.6,22,-5.85595491515133
10,10,-178,0.6,24,-6.44575193129494
10,10,-178,0.6,26,-6.48769607865843
10,10,-178,0.6,28,-5.91777948988989
10,10,-178,0.6,30,-7.67264910650987
10,10,-178,0.6,32,-8.12923411915608
10,10,-178,0.6,34,-7.27598918640744
10,10,-178,0.6,36,-7.72478727417246
10,10,-178,0.6,38,-8.22580969483599
10,10,-178,0.6,40,-9.06976074164515
10,10,-178,0.6,42,-9.01590251439726
10,10,-178,0.6,44,-7.54169850308625
10,10,-178,0.6,46,-8.59748699545451
10,10,-178,0.6,48,-10.3643769976892
10,10,-178,0.6,50,-8.75078440451627
10,10,-178,0.6,52,-8.05351160429595
10,10,-178,0.6,54,-9.80759343106922
10,10,-178,0.6,56,-10.2757365472832
10,10,-178,0.6,58,-12.2541643319841
10,10,-178,0.6,60,-14.6627918131118
10,10,-178,0.6,62,-13.4601164230866
10,10,-178,0.6,64,-13.5208733828148
10,10,-178,0.6,66,-18.1064971757447
10,10,-178,0.6,68,-16.3671151414921
10,10,-178,0.6,70,-14.7673785975407
10,10,-178,0.6,72,-13.204787684248
10,10,-178,0.6,74,-11.8062815060361
10,10,-178,0.6,76,-13.7884228383566
10,10,-178,0.6,78,-15.027284107356
10,10,-178,0.6,80,-10.5811365920918
10,10,-178,0.6,82,-9.72637923063895
10,10,-178,0.6,84,-9.92302017445619
10,10,-178,0.6,86,-8.88808971489091
10,10,-178,0.6,88,-9.30965487714805
10,10,-178,0.6,90,-10.5023155556461
10,10,-178,0.6,92,-9.30965487714792
10,10,-178,0.6,94,-8.88808971489086
10,10,-178,0.6,96,-9.92302017445619
10,10,-178,0.6,98,-9.72637923063893
10,10,-178,0.6,100,-10.581136592092
10,10,-178,0.6,102,-15.0272841073562
10,10,-178,0.6,104,-13.7884228383566
10,10,-178,0.6,106,-11.8062815060362
10,10,-178,0.6,108,-13.2047876842482
