"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,5,90,0.6,32.9,-6.71648475857031
10,5,90,0.6,33,-6.78605182572821
10,5,90,0.6,33.1,-6.85116487537458
10,5,90,0.6,33.2,-6.91144676412524
10,5,90,0.6,33.3,-6.96653803486546
10,5,90,0.6,33.4,-7.0161022344243
10,5,90,0.6,33.5,-7.05983122191441
10,5,90,0.6,33.6,-7.09745031178844
10,5,90,0.6,33.7,-7.12872308649879
10,5,90,0.6,33.8,-7.15345571262791
10,5,90,0.6,33.9,-7.17150060250799
10,5,90,0.6,34,-7.18275928096457
10,5,90,0.6,34.1,-7.18718434340129
10,5,90,0.6,34.2,-7.18478042562608
10,5,90,0.6,34.3,-7.17560414549332
10,5,90,0.6,34.4,-7.159763018914
10,5,90,0.6,34.5,-7.13741339508144
10,5,90,0.6,34.6,-7.10875749491551
10,5,90,0.6,34.7,-7.07403967010716
10,5,90,0.6,34.8,-7.03354202571558
10,5,90,0.6,34.9,-6.98757956577749
10,5,90,0.6,35,-6.93649502841505
10,5,90,0.6,35.1,-6.88065357488182
10,5,90,0.6,35.2,-6.82043748694516
10,5,90,0.6,35.3,-6.75624101054778
10,5,90,0.6,35.4,-6.68846546267749
10,5,90,0.6,35.5,-6.6175146947121
10,5,90,0.6,35.6,-6.54379098099866
10,5,90,0.6,35.7,-6.46769137761358
10,5,90,0.6,35.8,-6.38960457433123
10,5,90,0.6,35.9,-6.30990824365569
10,5,90,0.6,36,-6.22896687481667
10,5,90,0.6,36.1,-6.14713006807993
10,5,90,0.6,36.2,-6.0647312554963
10,5,90,0.6,36.3,-5.98208680804899
10,5,90,0.6,36.4,-5.89949548568382
10,5,90,0.6,36.5,-5.81723818547521
10,5,90,0.6,36.6,-5.7355779437396
10,5,90,0.6,36.7,-5.65476014981866
10,5,90,0.6,36.8,-5.57501293212094
10,5,90,0.6,36.9,-5.49654768048823
10,5,90,0.6,37,-5.41955967276406
10,5,90,0.6,37.1,-5.34422877735298
10,5,90,0.6,37.2,-5.27072020741209
10,5,90,0.6,37.3,-5.19918530597858
10,5,90,0.6,37.4,-5.12976234473598
10,5,90,0.6,37.5,-5.06257732220329
10,5,90,0.6,37.6,-4.99774474987711
10,5,90,0.6,37.7,-4.93536841725882
10,5,90,0.6,37.8,-4.87554212877552
10,5,90,0.6,37.9,-4.81835040736284
10,5,90,0.6,38,-4.76386916095816
10,5,90,0.6,38.1,-4.71216630937123
10,5,90,0.6,38.2,-4.66330236999376
10,5,90,0.6,38.3,-4.61733100160365
10,5,90,0.6,38.4,-4.57429950614095
10,5,90,0.6,38.5,-4.53424928881236
10,5,90,0.6,38.6,-4.4972162772321
10,5,90,0.6,38.7,-4.46323130055922
10,5,90,0.6,38.8,-4.43232042975789
10,5,90,0.6,38.9,-4.40450528020332
10,5,90,0.6,39,-4.37980327789791
10,5,90,0.6,39.1,-4.35822789055875
10,5,90,0.6,39.2,-4.33978882480047
10,5,90,0.6,39.3,-4.32449219057245
10,5,90,0.6,39.4,-4.31234063392764
10,5,90,0.6,39.5,-4.30333343910166
10,5,90,0.6,39.6,-4.29746660077723
10,5,90,0.6,39.7,-4.29473286729729
10,5,90,0.6,39.8,-4.29512175548319
10,5,90,0.6,39.9,-4.29861953760478
10,5,90,0.6,40,-4.30520920095049
10,5,90,0.6,40.1,-4.31487038035456
10,5,90,0.6,40.2,-4.32757926395834
10,5,90,0.6,40.3,-4.34330847242306
10,5,90,0.6,40.4,-4.3620269117653
10,5,90,0.6,40.5,-4.38369959996903
10,5,90,0.6,40.6,-4.40828746753426
10,5,90,0.6,40.7,-4.43574713216356
10,5,90,0.6,40.8,-4.46603064786543
10,5,90,0.6,40.9,-4.49908522887565
10,5,90,0.6,41,-4.5348529489692
10,5,90,0.6,41.1,-4.57327041696831
10,5,90,0.6,41.2,-4.61426842954529
10,5,90,0.6,41.3,-4.65777160279246
